@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
7,0,0,0,7,1,1,positive
0,3,0,0,6,4,5,positive
8,6,0,0,6,5,2,positive
1,0,0,0,7,1,1,positive
2,0,0,0,3,1,1,positive
0,1,0,0,6,2,3,positive
5,3,0,0,7,0,0,positive
5,0,0,0,7,2,2,positive
1,6,0,0,3,0,0,positive
5,0,0,0,4,1,1,positive
0,4,0,0,4,0,0,positive
1,3,0,0,4,5,6,positive
3,5,0,0,1,1,1,positive
1,3,0,0,1,2,2,positive
5,9,0,0,1,0,1,positive
3,0,0,0,9,0,0,positive
7,8,0,0,2,4,5,positive
4,2,0,0,4,0,0,positive
2,2,0,0,4,5,6,positive
1,3,0,0,4,3,4,positive
0,8,0,0,5,3,3,positive
6,2,0,0,6,4,5,positive
6,2,0,0,4,3,3,positive
8,2,0,0,3,1,2,positive
3,1,0,0,1,4,5,positive
8,8,0,0,0,5,5,positive
5,0,0,0,3,4,5,positive
1,1,0,0,0,0,0,positive
4,8,0,0,2,5,5,positive
2,8,0,0,3,2,3,positive
9,6,0,0,8,3,3,positive
3,5,0,0,6,3,3,positive
3,2,0,0,8,5,6,positive
5,6,0,0,3,5,5,positive
2,2,0,0,5,3,4,positive
8,5,0,0,4,4,3,positive
0,2,0,0,3,5,6,positive
6,3,0,0,1,2,3,positive
5,1,0,0,8,0,0,positive
1,1,0,0,3,3,5,positive
4,8,0,0,3,5,2,positive
0,1,0,0,0,5,5,positive
1,9,0,0,1,6,6,positive
6,6,0,0,0,0,0,positive
7,2,0,0,0,5,5,positive
5,1,0,0,3,3,4,positive
6,1,0,0,0,3,5,positive
5,2,0,0,6,4,5,positive
6,9,0,0,5,6,6,positive
0,0,0,0,4,1,1,positive
6,0,0,0,6,3,5,positive
7,9,0,0,3,6,6,positive
1,2,0,0,3,1,2,positive
4,6,0,0,7,5,5,positive
2,0,0,0,0,1,1,positive
6,8,0,0,4,1,2,positive
4,6,0,0,3,5,5,positive
6,4,0,0,3,1,0,positive
1,4,0,0,1,2,2,positive
5,0,0,0,4,1,2,positive
7,4,0,0,3,1,1,positive
6,0,0,0,3,2,2,positive
3,0,0,0,2,4,5,positive
5,4,0,0,3,3,3,positive
2,6,0,0,2,1,1,positive
3,8,0,0,8,3,3,positive
4,9,0,0,3,5,6,positive
5,6,0,0,6,6,6,positive
7,6,0,0,4,6,6,positive
7,4,0,0,1,5,4,positive
7,8,0,0,0,1,1,positive
8,4,0,0,0,2,3,positive
3,6,0,0,6,4,5,positive
5,4,0,0,1,2,0,positive
5,4,0,0,5,1,0,positive
3,5,0,0,0,0,1,positive
3,6,0,0,0,2,3,positive
9,9,0,0,3,4,2,positive
4,2,0,0,0,4,5,positive
8,8,0,0,1,2,1,positive
9,8,0,0,0,5,0,positive
7,6,0,0,8,3,3,positive
4,3,0,0,9,1,1,positive
1,9,0,0,9,4,5,positive
3,6,0,0,6,0,0,positive
2,6,0,0,3,3,3,positive
6,0,0,0,7,0,0,positive
3,1,0,0,8,0,0,positive
3,1,0,0,6,6,6,positive
4,0,0,0,3,2,3,positive
4,4,0,0,3,0,0,positive
5,8,0,0,8,0,0,positive
3,4,0,0,2,4,5,positive
1,8,0,0,1,5,6,positive
2,0,0,0,5,5,6,positive
1,3,0,0,4,1,1,positive
0,2,0,0,6,3,3,positive
0,0,0,0,2,2,3,positive
3,8,0,0,3,5,5,positive
2,1,0,0,3,0,1,positive
5,6,0,0,3,4,5,positive
1,1,0,0,3,1,2,positive
4,4,0,0,3,5,5,positive
0,2,0,0,3,6,6,positive
3,4,0,0,4,0,1,positive
2,0,0,0,9,2,3,positive
0,8,0,0,4,5,5,positive
4,4,0,0,6,3,3,positive
2,3,0,0,0,1,2,positive
5,3,0,0,7,0,1,positive
0,1,0,0,3,2,3,positive
6,1,0,0,3,6,6,positive
2,4,0,0,1,5,5,positive
0,4,0,0,6,2,2,positive
0,9,0,0,4,9,2,negative
9,6,0,0,6,9,9,negative
1,6,0,0,8,9,9,negative
3,6,0,0,8,9,8,negative
6,3,0,0,8,7,8,negative
6,9,0,0,4,9,9,negative
2,1,0,0,6,8,8,negative
7,2,0,0,9,7,7,negative
8,6,0,0,7,8,8,negative
0,9,0,0,9,6,6,negative
9,1,0,0,6,9,9,negative
7,5,0,0,8,8,8,negative
8,6,0,0,2,9,9,negative
7,3,0,0,6,9,9,negative
7,9,0,0,0,9,9,negative
9,6,0,0,6,6,7,negative
6,8,0,0,8,7,7,negative
8,9,0,0,7,8,9,negative
6,9,0,0,6,8,8,negative
9,6,0,0,8,9,9,negative
