@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
8,3,0,0,4,5,5,positive
9,2,0,0,0,5,5,positive
0,4,0,0,4,6,6,positive
7,6,0,0,4,3,1,positive
6,0,0,0,7,6,6,positive
5,5,0,0,1,0,0,positive
3,0,0,0,7,0,0,positive
3,4,0,0,0,2,2,positive
4,6,0,0,4,0,0,positive
6,1,0,0,7,6,6,positive
2,0,0,0,3,0,0,positive
8,6,0,0,0,3,4,positive
7,1,0,0,2,2,2,positive
4,3,0,0,4,6,6,positive
1,4,0,0,6,6,6,positive
1,2,0,0,2,3,4,positive
5,6,0,0,6,5,6,positive
2,3,0,0,4,5,5,positive
4,0,0,0,6,0,0,positive
1,1,0,0,1,3,3,positive
6,6,0,0,1,5,3,positive
6,0,0,0,0,5,6,positive
7,4,0,0,4,3,3,positive
4,1,0,0,4,3,0,positive
7,6,0,0,6,0,0,positive
1,0,0,0,1,3,4,positive
8,1,0,0,4,4,5,positive
5,0,0,0,1,4,5,positive
3,2,0,0,3,0,0,positive
6,8,0,0,3,6,6,negative
2,6,0,0,9,6,7,negative
5,6,0,0,9,9,9,negative
9,4,0,0,4,7,7,negative
3,9,0,0,0,8,8,negative
9,9,0,0,4,8,7,negative
3,5,0,0,3,9,9,negative
9,3,0,0,9,7,7,negative
9,8,0,0,8,6,7,negative
9,8,0,0,9,8,8,negative
8,6,0,0,6,8,8,negative
8,6,0,0,3,8,9,negative
5,3,0,0,6,7,7,negative
0,6,0,0,8,7,7,negative
8,6,0,0,0,8,1,negative
