@relation  ecoli-0_vs_1
@attribute Mcg {0,1,2,3,4,5,6,7,8,9}
@attribute Gvh {0,1,2,3,4,5,6,7,8,9}
@attribute Lip {0,1}
@attribute Chg {0}
@attribute Aac {0,1,2,3,4,5,6,7,8,9}
@attribute Alm1 {0,1,2,3,4,5,6,7,8,9}
@attribute Alm2 {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
7,0,0,0,7,1,1,positive
1,0,0,0,7,1,1,positive
2,0,0,0,3,1,1,positive
1,3,0,0,4,5,6,positive
3,5,0,0,1,1,1,positive
5,9,0,0,1,0,1,positive
3,0,0,0,9,0,0,positive
0,7,0,0,5,3,3,positive
6,2,0,0,7,4,5,positive
8,2,0,0,3,1,2,positive
3,1,0,0,1,4,5,positive
8,7,0,0,0,4,5,positive
4,8,0,0,2,5,5,positive
2,2,0,0,8,5,5,positive
4,8,0,0,2,5,2,positive
1,9,0,0,1,6,6,positive
6,1,0,0,0,3,5,positive
8,9,0,0,2,6,6,positive
6,0,0,0,2,2,2,positive
3,0,0,0,2,4,5,positive
8,5,0,0,1,4,4,positive
7,7,0,0,0,1,1,positive
3,5,0,0,6,4,5,positive
5,5,0,0,5,1,0,positive
3,6,0,0,0,2,3,positive
3,6,0,0,7,0,0,positive
3,4,0,0,2,4,5,positive
2,1,0,0,3,0,1,positive
6,3,0,0,8,7,8,negative
8,2,0,0,9,7,7,negative
9,1,0,0,7,9,9,negative
9,5,0,0,6,7,7,negative
8,9,0,0,7,9,9,negative
8,9,0,0,7,7,7,negative
9,3,0,0,7,9,9,negative
9,9,0,0,9,6,7,negative
8,8,0,0,7,7,6,negative
8,1,0,0,7,9,8,negative
3,5,0,0,5,8,9,negative
7,6,0,0,6,8,7,negative
9,2,0,0,7,8,8,negative
7,9,0,0,0,8,0,negative
9,9,0,0,9,7,7,negative
9,8,0,0,9,9,9,negative
