@relation ecoli-0_vs_1
@attribute ficticio {0,1,2,3,4}
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs ficticio, Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, positive
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, positive
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, positive
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, positive
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, positive
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, positive
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, positive
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, positive
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, positive
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, positive
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, positive
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, positive
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, positive
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, positive
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, positive
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
1,0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
2,0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, negative
3,0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
4,0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, negative
4,0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, negative
4,0.67, 0.39, 0.48, 0.5, 0.36, 0.38, 0.46, negative
3,0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, negative
3,0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
1,0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, negative
1,0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
4,0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
2,0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
1,0.51, 0.5, 0.48, 0.5, 0.46, 0.32, 0.35, positive
0,0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
