@relation  glass-0-1-2-3_vs_4-5-6
@attribute RI {0,1,2,3,4,5,6,7,8,9}
@attribute Na {0,1,2,3,4,5,6,7,8,9}
@attribute Mg {0,1,2,3,4,5,6,7,8,9}
@attribute Al {0,1,2,3,4,5,6,7,8,9}
@attribute Si {0,1,2,3,4,5,6,7,8,9}
@attribute K {0,1,2,3,4,5,6,7,8,9}
@attribute Ca {0,1,2,3,4,5,6,7,8,9}
@attribute Ba {0,1,2}
@attribute Fe {0,1,2,3,4}
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
9,4,9,0,1,2,9,0,0,negative
8,6,7,1,1,2,8,0,0,negative
7,6,3,2,1,6,6,0,0,negative
9,6,9,0,0,2,8,0,0,negative
4,1,6,4,7,7,5,0,0,negative
8,3,7,0,2,3,8,0,3,negative
5,1,4,2,6,7,4,1,3,negative
5,4,3,4,4,6,5,0,0,negative
8,6,9,0,1,3,8,0,2,negative
4,1,6,6,4,4,4,0,3,negative
4,0,7,4,8,6,4,0,0,negative
5,0,6,4,7,7,5,0,2,negative
0,4,4,2,4,5,4,0,0,negative
6,6,0,0,9,0,9,0,0,negative
2,0,3,6,8,8,2,0,0,negative
9,7,3,0,0,2,9,0,0,negative
2,5,7,6,3,8,1,0,0,negative
4,0,3,2,9,7,6,0,3,negative
9,0,0,8,2,9,9,0,4,negative
6,1,8,3,3,7,5,0,4,negative
1,3,5,6,5,9,1,0,4,negative
1,7,5,3,5,3,0,0,2,negative
0,1,5,9,4,9,0,0,0,negative
2,4,6,7,5,7,0,0,0,negative
9,0,0,0,7,0,9,0,0,negative
7,5,4,5,2,4,5,0,0,negative
4,0,2,7,5,9,7,0,0,negative
6,2,9,1,7,5,3,0,2,negative
9,0,0,0,1,1,9,0,0,negative
8,6,2,7,2,4,8,1,3,negative
3,1,5,6,9,8,0,0,0,negative
2,3,3,3,6,4,5,0,0,negative
2,0,5,4,5,5,4,0,0,negative
8,0,0,7,9,3,9,0,0,positive
0,7,2,9,0,9,0,2,0,positive
8,2,0,6,9,2,9,0,4,positive
2,1,0,8,9,9,9,0,0,positive
8,4,0,8,7,3,9,0,0,positive
7,7,2,7,4,0,7,0,0,positive
8,8,0,8,9,0,4,2,0,positive
0,7,0,9,8,2,8,2,0,positive
1,9,0,9,8,0,5,1,4,positive
6,8,3,9,0,9,0,2,0,positive
