@relation  glass-0-1-2-3_vs_4-5-6
@attribute RI {0,1,2,3,4,5,6,7,8,9}
@attribute Na {0,1,2,3,4,5,6,7,8,9}
@attribute Mg {0,1,2,3,4,5,6,7,8}
@attribute Al {0,1,2,3,4,5,6,7,8,9}
@attribute Si {0,1,2,3,4,5,6,7,8,9}
@attribute K {0,1,2,3,4,5,6,7,8,9}
@attribute Ca {0,1,2,3,4,5,6,7,8,9}
@attribute Ba {0,1,2}
@attribute Fe {0,1,2,3,4}
@attribute Class{positive,negative}
@inputs RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
@outputs Class
@data
9,8,8,0,1,2,7,0,0,negative
5,4,3,5,3,6,3,0,0,negative
0,3,3,1,6,7,3,0,4,negative
4,7,6,4,4,3,0,0,0,negative
4,2,4,1,8,4,4,0,0,negative
4,1,7,3,6,6,4,0,0,negative
6,4,2,3,5,4,7,0,0,negative
4,3,5,7,4,4,3,0,2,negative
4,6,7,1,6,6,1,0,0,negative
8,3,7,0,2,2,8,0,3,negative
4,3,6,4,6,6,3,0,2,negative
9,5,6,0,1,2,8,0,1,negative
7,4,2,3,2,6,7,0,2,negative
7,9,8,0,1,1,7,0,0,negative
7,6,3,4,1,4,7,0,0,negative
3,2,5,7,5,7,1,0,3,negative
6,4,6,1,4,6,3,1,3,negative
6,2,2,5,5,6,6,1,0,negative
1,2,3,5,9,3,2,0,0,negative
6,4,8,5,2,4,3,0,2,negative
1,3,6,6,7,8,0,0,0,negative
6,0,2,0,9,3,7,0,3,negative
9,9,0,1,3,2,9,0,2,negative
3,6,3,7,3,7,1,0,0,negative
6,6,8,6,1,4,2,0,2,negative
0,8,2,8,2,9,0,0,0,negative
9,8,8,1,0,3,7,0,4,negative
5,6,7,0,6,1,6,0,0,negative
5,6,2,7,1,6,6,0,4,negative
1,5,3,2,4,6,3,0,0,negative
7,6,5,0,3,2,6,1,3,negative
5,6,7,1,4,2,5,0,0,negative
8,8,8,0,0,0,7,0,0,negative
7,1,1,8,4,6,8,0,0,positive
9,6,0,7,2,3,9,0,0,positive
8,2,1,9,2,9,8,1,4,positive
8,0,1,6,5,3,9,0,0,positive
7,8,1,6,2,0,7,0,0,positive
1,7,1,8,7,0,5,2,0,positive
2,8,0,9,5,0,7,1,0,positive
3,9,0,8,8,0,4,2,2,positive
9,9,1,4,0,3,5,2,0,positive
0,9,0,9,9,0,3,1,0,positive
