@relation  iris0
@attribute SepalLength {0,1,2,3,4,5,6,7,8,9}
@attribute SepalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute PetalLength {0,1,2,3,4,5,6,7,8,9}
@attribute PetalWidth {0,1,2,3,4,5,6,7,8,9}
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
1,8,1,1,positive
0,8,2,1,positive
2,9,0,2,positive
2,8,1,2,positive
0,8,3,1,positive
2,8,1,1,positive
2,8,1,1,positive
0,0,0,2,positive
2,9,3,2,positive
0,6,0,1,positive
7,2,5,5,negative
9,6,5,5,negative
7,6,5,5,negative
1,0,3,3,negative
1,0,3,3,negative
6,0,4,3,negative
3,4,5,5,negative
6,2,5,3,negative
4,4,4,3,negative
4,2,4,4,negative
9,4,9,8,negative
1,0,5,7,negative
8,0,8,7,negative
6,1,8,5,negative
6,8,8,9,negative
8,5,8,8,negative
8,5,8,9,negative
8,6,9,9,negative
7,4,7,8,negative
6,0,7,5,negative
