Etiqueta,DelCol,Llamada,Nodos,Poblacion,Representados,Semilla,Topologia,C,Epocas,minutos,T_Entrenamiento,Evaluaciones,Eval*datos,Comunicaciones,Reglas,R_5x2,R_Dat_entr,%aciertoC1,%aciertoC2
ecoli-0_vs_1-5-2,5-2,ecoli-0_vs_1-5-2_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.1318,176,13341,1178416,368,15,0.6136363636363636,0.5454545454545454,0.41379310344827586,"1.0
"
ecoli-0_vs_1-5-2,5-2,ecoli-0_vs_1-5-2_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.14163333333333333,176,11675,1143882,346,10,0.8636363636363636,0.8522727272727273,0.8275862068965517,"0.9333333333333333
"
ecoli-0_vs_1-5-2,5-2,ecoli-0_vs_1-5-2_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.18085,176,13024,1366040,428,9,0.4772727272727273,0.5397727272727273,0.3103448275862069,"0.8
"
ecoli-0_vs_1-5-3,5-3,ecoli-0_vs_1-5-3_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.07561666666666667,176,6218,544325,250,9,0.36363636363636365,0.36363636363636365,0.034482758620689655,"1.0
"
ecoli-0_vs_1-5-3,5-3,ecoli-0_vs_1-5-3_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.10936666666666667,176,13839,1466312,364,7,0.45454545454545453,0.4147727272727273,0.1724137931034483,"1.0
"
ecoli-0_vs_1-5-3,5-3,ecoli-0_vs_1-5-3_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.1707,176,13395,1494280,374,8,0.4090909090909091,0.3806818181818182,0.10344827586206896,"1.0
"
ecoli-0_vs_1-5-4,5-4,ecoli-0_vs_1-5-4_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.13963333333333333,176,15041,1490719,392,12,0.75,0.7386363636363636,0.8571428571428571,"0.5625
"
ecoli-0_vs_1-5-4,5-4,ecoli-0_vs_1-5-4_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.19363333333333332,176,11406,1006735,314,12,0.5227272727272727,0.5056818181818182,0.32142857142857145,"0.875
"
ecoli-0_vs_1-5-4,5-4,ecoli-0_vs_1-5-4_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.2561833333333333,176,9041,768079,282,16,0.5681818181818182,0.5170454545454546,0.32142857142857145,"1.0
"
ecoli-0_vs_1-5-5,5-5,ecoli-0_vs_1-5-5_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.20438333333333333,176,12108,1124755,394,12,0.4772727272727273,0.5284090909090909,0.21428571428571427,"0.9375
"
ecoli-0_vs_1-5-5,5-5,ecoli-0_vs_1-5-5_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.15455,176,11153,1164854,315,13,0.45454545454545453,0.44886363636363635,0.17857142857142858,"0.9375
"
ecoli-0_vs_1-5-5,5-5,ecoli-0_vs_1-5-5_N2_P50_R2_S1234567_T1_C1_G20,2,50,2,1234567,1,1,50,0.21116666666666667,176,12759,1209193,351,14,0.6136363636363636,0.6306818181818182,0.7142857142857143,"0.4375
"
